Drug Name           Trade Names
"Risperidone",      Risperdal, Perseris,
"Olanzapine",       Zyprexa, 
"Quetiapine",       Seroque
"Aripiprazole",     Abilify, Aristada,
"Ziprasidone",      Geodon, Zeldox
"Haloperidol",      Haldol, 
"Amisulpride",      Barhemsys
"Paliperidone"      Invega, 
"Clozapin",         Clozaril, Clopine, FazaClo, 
"Escitalopram",     Lexapro
"Sertraline",       Zoloft,
"Paroxetine",       Paxil, Brisdelle, Pexeva
"Fluoxetine",       Prozac, Sarafem, Rapiflux
"Fluvoxamine",      Luvox, 
"Bupropion",        Wellbutrin, Zyban
"Venlafaxine",      Effexor,
"Mirtazapine",      Remeron,
"Trazodone",        Desyrel, Oleptro,
"Valproate",        Depakene, Depacon, Stavzor
"Lamotrigine",      Lamictal, Subvenite,
"Carbamazepine",    Tegretol, Carbatrol, Epitol
"Topiramate",       Topamax, Trokendi, Qudexy,
"Levetiracetam",    Elepsia, Keppra, Roweepra, Spritam,
"Lithium",          Lithobid, Eskalith, Lithonate
"Lorazepam",        Ativan, 
"Clonazepam",       Klonopin,
"Diazepam",         Valium, Valtoco, Diastat, 
"Alprazolam"        Xanax, Niravam
